evolves_from,evolves_to
bulbasaur,ivysaur
ivysaur,venusaur
charmander,charmeleon
charmeleon,charizard
squirtle,wartortle
wartortle,blastoise
caterpie,metapod
metapod,butterfree
weedle,kakuna
kakuna,beedrill
pidgey,pidgeotto
pidgeotto,pidgeot
rattata,raticate
spearow,fearow
ekans,arbok
pichu,pikachu
pikachu,raichu
sandshrew,sandslash
nidoran-f,nidorina
nidorina,nidoqueen
nidoran-m,nidorino
nidorino,nidoking
cleffa,clefairy
clefairy,clefable
vulpix,ninetales
igglybuff,jigglypuff
jigglypuff,wigglytuff
zubat,golbat
golbat,crobat
oddish,gloom
gloom,vileplume
gloom,bellossom
paras,parasect
venonat,venomoth
diglett,dugtrio
meowth,persian
meowth,perrserker
psyduck,golduck
mankey,primeape
growlithe,arcanine
poliwag,poliwhirl
poliwhirl,poliwrath
poliwhirl,politoed
abra,kadabra
kadabra,alakazam
machop,machoke
machoke,machamp
bellsprout,weepinbell
weepinbell,victreebel
tentacool,tentacruel
geodude,graveler
graveler,golem
ponyta,rapidash
slowpoke,slowbro
slowpoke,slowking
magnemite,magneton
magneton,magnezone
farfetchd,sirfetchd
doduo,dodrio
seel,dewgong
grimer,muk
shellder,cloyster
gastly,haunter
haunter,gengar
onix,steelix
drowzee,hypno
krabby,kingler
voltorb,electrode
exeggcute,exeggutor
cubone,marowak
tyrogue,hitmonlee
tyrogue,hitmonchan
tyrogue,hitmontop
lickitung,lickilicky
koffing,weezing
rhyhorn,rhydon
rhydon,rhyperior
happiny,chansey
chansey,blissey
tangela,tangrowth
horsea,seadra
seadra,kingdra
goldeen,seaking
staryu,starmie
mime-jr,mr-mime
mr-mime,mr-rime
scyther,scizor
smoochum,jynx
elekid,electabuzz
electabuzz,electivire
magby,magmar
magmar,magmortar
magikarp,gyarados
eevee,vaporeon
eevee,jolteon
eevee,flareon
eevee,espeon
eevee,umbreon
eevee,leafeon
eevee,glaceon
eevee,sylveon
porygon,porygon2
porygon2,porygon-z
omanyte,omastar
kabuto,kabutops
munchlax,snorlax
dratini,dragonair
dragonair,dragonite
