name,url,index
bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,1
ivysaur,https://pokeapi.co/api/v2/pokemon/2/,2
venusaur,https://pokeapi.co/api/v2/pokemon/3/,3
charmander,https://pokeapi.co/api/v2/pokemon/4/,4
charmeleon,https://pokeapi.co/api/v2/pokemon/5/,5
charizard,https://pokeapi.co/api/v2/pokemon/6/,6
squirtle,https://pokeapi.co/api/v2/pokemon/7/,7
wartortle,https://pokeapi.co/api/v2/pokemon/8/,8
blastoise,https://pokeapi.co/api/v2/pokemon/9/,9
caterpie,https://pokeapi.co/api/v2/pokemon/10/,10
metapod,https://pokeapi.co/api/v2/pokemon/11/,11
butterfree,https://pokeapi.co/api/v2/pokemon/12/,12
weedle,https://pokeapi.co/api/v2/pokemon/13/,13
kakuna,https://pokeapi.co/api/v2/pokemon/14/,14
beedrill,https://pokeapi.co/api/v2/pokemon/15/,15
pidgey,https://pokeapi.co/api/v2/pokemon/16/,16
pidgeotto,https://pokeapi.co/api/v2/pokemon/17/,17
pidgeot,https://pokeapi.co/api/v2/pokemon/18/,18
rattata,https://pokeapi.co/api/v2/pokemon/19/,19
raticate,https://pokeapi.co/api/v2/pokemon/20/,20
